,Name,Sales,Series,Release,Genre,Developer,Publisher
83,The Witcher,2.0,The Witcher,2007-10-01,Action role-playing,CD Projekt Red,"Atari, Inc"
84,The Witcher 2: Assassins of Kings,2.0,The Witcher,2011-05-01,Action role-playing,CD Projekt Red,CD Projekt
85,Warcraft II: Tides of Darkness,2.0,Warcraft,1995-12-01,Real-time strategy,Blizzard Entertainment,Blizzard Entertainment
86,Metal Gear Solid V: The Phantom Pain,1.8,Metal Gear Solid,2015-09-01,"Action-adventure, stealth",Kojima Productions,Konami
87,American Truck Simulator,1.5,Trucks Simulator,2012-10-01,Vehicle simulation,SCS Software,SCS Software
88,International Karate,1.5,International Karate,1985-11-01,Fighting,System 3,Epyx
89,Sega Mega Drive and Genesis Classics,1.5,Sega Mega Drive and Genesis Classics,2010-06-01,Compilation,Sega,Sega
91,Resident Evil 6,1.3,Resident Evil,2013-03-01,"Third-person shooter, survival horror",Capcom,Capcom
93,Ultra Street Fighter IV,1.3,Street Fighter,2009-07-01,Fighting,Capcom,Capcom
94,Nier: Automata,1.2,Nier,2017-03-01,"Action role-playing, hack and slash",PlatinumGames,Square Enix
95,Resident Evil 4: Ultimate HD Edition,1.2,Resident Evil,2014-02-01,"Third-person shooter, survival horror",Capcom,Capcom
97,Pac-Man Championship Edition DX+,1.1,Pac-Man,2013-09-01,"Maze, arcade",Namco Bandai Games,Namco Bandai Games
98,Age of Mythology,1.0,Age of Empires,2002-10-01,Real-time strategy,Ensemble Studios,Microsoft
99,American McGee's Alice,1.0,Alice,2000-10-01,"Action-adventure, platformer",Rogue Entertainment,Electronic Arts
100,Ark: Survival Evolved,1.0,Ark: Survival Evolved,2015-06-01,"Action-adventure, Survival",Studio Wildcard,Studio Wildcard
101,Battlefield Vietnam,1.0,Battlefield,2004-03-01,First-person shooter,EA DICE,Electronic Arts
102,BioShock,1.0,BioShock,2007-08-01,First-person shooter,Irrational Games,2K Games
104,Civilization II,1.0,Civilization,1996-02-01,"Turn-based strategy, 4X",MicroProse,MicroProse
105,Command & Conquer 3: Tiberium Wars,1.0,Command & Conquer,2007-03-01,Real-time strategy,EA Los Angeles,Electronic Arts
106,Command & Conquer: Red Alert 2,1.0,Command & Conquer,2000-10-01,Real-time strategy,Westwood Pacific,Electronic Arts
107,Command & Conquer: Tiberian Sun,1.0,Command & Conquer,1999-08-01,Real-time strategy,Westwood Studios,Electronic Arts
108,Commandos: Behind Enemy Lines,1.0,Commandos,1998-06-01,Real-time tactics,Pyro Studios,Eidos Interactive
109,Crusader Kings II,1.0,Crusader Kings,2012-02-01,Grand strategy,Paradox Development Studio,Paradox Interactive
110,Crusader Kings III,1.0,Crusader Kings,2020-09-01,Grand strategy,Paradox Development Studio,Paradox Interactive
111,Crysis Warhead,1.0,Crysis,2008-09-01,First-person shooter,Crytek Budapest,Electronic Arts
113,Danganronpa 2: Goodbye Despair,1.0,Danganronpa,2016-04-01,"Visual novel, adventure",Spike Chunsoft,Spike Chunsoft
114,Danganronpa: Trigger Happy Havoc,1.0,Danganronpa,2016-02-01,"Visual novel, adventure",Spike Chunsoft,Spike Chunsoft
115,Daryl F. Gates' Police Quest: SWAT,1.0,Police Quest,1995-09-01,Interactive movie,Sierra Online,Sierra Online
116,Deer Hunter,1.0,Deer Hunter,1997-11-01,Sports,Sunstorm Interactive,WizardWorks
117,Divinity: Original Sin II,1.0,Divinity,2017-09-01,Role-playing game,Larian Studios,Larian Studios
118,Duke Nukem 3D,1.0,Duke Nukem,1996-01-01,First-person shooter,3D Realms,GT Interactive Software
120,Dungeon Siege,1.0,Dungeon Siege,2002-04-01,Role-playing game,Gas Powered Games,Microsoft Game Studios
121,Empire Earth,1.0,Empire Earth,2001-11-01,Real-time strategy,Stainless Steel Studios,Sierra Entertainment
122,Europa Universalis IV,1.0,Europa Universalis,2013-08-01,Grand strategy,Paradox Development Studio,Paradox Interactive
123,Frogger,1.0,Frogger,1997-11-01,Action,SCE Cambridge Studio,Hasbro Interactive
126,Grand Prix 2,1.0,Grand Prix,1996-08-01,Sim racing,MicroProse,MicroProse
127,Harry Potter and the Philosopher's Stone,1.0,Harry Potter,2001-11-01,Action-adventure,KnowWonder,Electronic Arts
128,Hearts of Iron IV,1.0,Hearts of Iron,2016-06-01,"Real-time strategy, grand strategy wargame",Paradox Development Studio,Paradox Interactive
129,Hidden & Dangerous,1.0,Hidden & Dangerous,1999-07-01,Action,Illusion Softworks,Take-Two Interactive
130,Hidden & Dangerous 2,1.0,Hidden & Dangerous,2003-10-01,Action,Illusion Softworks,Take-Two Interactive
133,Hydlide,1.0,Hydlide,1984-12-01,Action role-playing,Technology and Entertainment Software,Technology and Entertainment Software
138,Microsoft Flight Simulator X,1.0,Microsoft Flight Simulator,2006-10-01,Amateur flight simulation,Microsoft Game Studios,Microsoft Game Studios
141,Patrician III: Rise of the Hanse,1.0,The Patrician,2003-10-01,Business simulation,Ascaron,Encore
142,Phantasmagoria,1.0,Phantasmagoria,1995-07-01,Interactive movie,Sierra Online,Sierra Online
